date,code,name,score_ml,total_score,max_score,market_state,track
2025-12-18,600487,,14,69,115,strong,0
2025-12-19,601869,,13,94,115,strong,0
2025-12-23,688668,,13,93,115,strong,0
2025-12-24,002429,,14,61,115,strong,0
2025-12-24,601212,,14,62,115,strong,0
2025-12-24,301182,,14,78,115,strong,0
2025-12-24,300159,,14,66,115,strong,0
2025-12-25,688033,,10,57,115,strong,0
2025-12-25,000733,,13,59,115,strong,0
2025-12-25,605589,,14,66,115,strong,0
2025-12-25,002897,,13,63,115,strong,0
2025-12-26,601212,,14,61,115,strong,0
2025-12-26,688519,,13,87,115,strong,0
2025-12-26,603267,,14,84,115,strong,0
2025-12-26,688586,,10,58,115,strong,0
2025-12-29,002465,,14,89,115,strong,0
2026-01-06,600184,,13,74,115,strong,0
2026-01-06,600459,,14,86,115,strong,0
2026-01-06,301099,,10,89,115,strong,0
2026-01-06,300666,,10,86,115,strong,0
2026-01-07,600869,,14,88,115,strong,0
2026-01-07,300285,,14,65,115,strong,0
2026-01-07,688146,,14,76,115,strong,0
2026-01-08,688777,,12,89,115,strong,0
2026-01-08,603078,,14,71,115,strong,0
2026-01-08,688082,,13,88,115,strong,0
2026-01-09,301282,,10,64,115,strong,0
2026-01-12,002859,,14,75,115,strong,0
2026-01-12,688175,,10,87,115,strong,0
2026-01-12,300184,,14,65,115,strong,0
2026-01-13,002723,,13,57,115,strong,0
2026-01-15,601137,,13,55,115,strong,0
2026-01-16,301297,,13,64,115,strong,0
2026-01-16,688147,,14,89,115,strong,0
2026-01-19,603662,,10,86,115,strong,0
2026-01-20,301338,,14,90,115,strong,0
2026-01-20,600487,,14,70,115,strong,0
2026-01-21,301312,,13,89,115,strong,0
2026-01-21,603008,,14,68,115,strong,0
2026-01-21,600459,,10,62,115,strong,0
2026-01-22,301099,,14,67,115,strong,0
2026-01-23,000878,,14,65,115,strong,0
2026-01-23,603212,,14,66,115,strong,0
2026-01-23,600522,,14,71,115,strong,0
2026-01-23,600869,,14,65,115,strong,0
2026-01-27,601899,,10,79,115,strong,0
2026-01-27,300738,,12,70,115,strong,0
2026-01-28,600255,,10,61,115,strong,0
2026-01-28,603993,,11,91,115,strong,0
